chrom	start	end	nSites	recombRate	CI95LO	CI95HI
b'HemMar#1#scaffold_1'	4554000	4600000	852	4.000940055168973e-11	0	3.9187583653974713e-10
b'HemMar#1#scaffold_1'	4600000	4646000	719	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4646000	4692000	514	5.700005393191673e-11	0	4.0886648991997414e-10
b'HemMar#1#scaffold_1'	4692000	4738000	284	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4738000	4784000	689	1.280210537745716e-10	0	4.79887489762629e-10
b'HemMar#1#scaffold_1'	4784000	4830000	789	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4830000	4876000	652	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4876000	4922000	937	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4922000	4968000	553	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	4968000	5014000	668	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5014000	5060000	699	2.9519022123339975e-10	0	6.470566572214572e-10
b'HemMar#1#scaffold_1'	5060000	5106000	436	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5106000	5152000	406	1.2016862595739992e-10	0	4.720350619454573e-10
b'HemMar#1#scaffold_1'	5152000	5198000	291	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5198000	5244000	455	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5244000	5290000	694	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5290000	5336000	702	3.1334345619541274e-11	0	3.832007816075987e-10
b'HemMar#1#scaffold_1'	5336000	5382000	620	4.598178552720074e-10	1.0795141928394996e-10	8.116842912600648e-10
b'HemMar#1#scaffold_1'	5428000	5474000	119	9.135391565047154e-11	0	4.4322035163852894e-10
b'HemMar#1#scaffold_1'	5474000	5520000	463	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5520000	5566000	571	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5566000	5612000	527	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5612000	5658000	218	1.7244077069249058e-10	0	5.24307206680548e-10
b'HemMar#1#scaffold_1'	5658000	5704000	497	2.9203581097642706e-13	0	3.5215847179903383e-10
b'HemMar#1#scaffold_1'	5704000	5750000	471	5.66194213273899e-10	2.1432777728584154e-10	9.180606492619564e-10
b'HemMar#1#scaffold_1'	5750000	5796000	137	1.1789273005218967e-09	8.270608645338393e-10	1.5307937365099541e-09
b'HemMar#1#scaffold_1'	5796000	5842000	230	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5842000	5888000	331	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5888000	5934000	386	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5934000	5980000	369	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	5980000	6026000	623	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6026000	6072000	311	3.8114927915686573e-10	2.9282843168808274e-11	7.330157151449231e-10
b'HemMar#1#scaffold_1'	6072000	6118000	237	4.653136314089729e-10	1.1344719542091543e-10	8.171800673970303e-10
b'HemMar#1#scaffold_1'	6118000	6164000	359	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6164000	6210000	354	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6210000	6256000	402	1.7904347524963495e-10	0	5.309099112376924e-10
b'HemMar#1#scaffold_1'	6256000	6302000	416	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6302000	6348000	688	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6348000	6394000	420	1.4852854006763837e-10	0	5.003949760556958e-10
b'HemMar#1#scaffold_1'	6394000	6440000	333	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6440000	6486000	451	1.9648226822499542e-10	0	5.483487042130528e-10
b'HemMar#1#scaffold_1'	6486000	6532000	349	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6532000	6578000	460	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6578000	6624000	427	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6624000	6670000	795	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6670000	6716000	738	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6716000	6762000	536	3.81663808367731e-11	0	3.900328168248305e-10
b'HemMar#1#scaffold_1'	6762000	6808000	1095	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6808000	6854000	1026	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6854000	6900000	640	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	6900000	6946000	729	6.647368632180386e-11	0	4.1834012230986127e-10
b'HemMar#1#scaffold_1'	6946000	6992000	942	7.50135002612344e-12	0	3.5936778601418085e-10
b'HemMar#1#scaffold_1'	6992000	7038000	898	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7038000	7084000	720	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7084000	7130000	916	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7130000	7176000	586	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7176000	7222000	971	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7222000	7268000	613	3.236440102819278e-11	0	3.842308370162502e-10
b'HemMar#1#scaffold_1'	7268000	7314000	722	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7314000	7360000	660	1.3129696065686976e-10	0	4.831633966449272e-10
b'HemMar#1#scaffold_1'	7360000	7406000	649	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7406000	7452000	637	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7452000	7498000	307	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7498000	7544000	684	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7544000	7590000	548	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7590000	7636000	395	1.1395672833036737e-10	0	4.658231643184248e-10
b'HemMar#1#scaffold_1'	7636000	7682000	564	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7682000	7728000	407	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7728000	7774000	361	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7774000	7820000	239	3.011949052958404e-10	0	6.530613412838978e-10
b'HemMar#1#scaffold_1'	7820000	7866000	312	8.396294063154708e-11	0	4.358293766196045e-10
b'HemMar#1#scaffold_1'	7866000	7912000	292	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	7912000	7958000	296	1.3141377327773844e-10	0	4.832802092657958e-10
b'HemMar#1#scaffold_1'	7958000	8004000	379	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8004000	8050000	348	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8050000	8096000	311	3.026696646343053e-10	0	6.545361006223627e-10
b'HemMar#1#scaffold_1'	8096000	8142000	668	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8142000	8188000	717	7.795009686397234e-11	0	4.2981653285202975e-10
b'HemMar#1#scaffold_1'	8188000	8234000	231	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8234000	8280000	387	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8280000	8326000	355	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8326000	8372000	470	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8372000	8418000	301	1.1110086986264387e-11	0	3.629765229743218e-10
b'HemMar#1#scaffold_1'	8418000	8464000	711	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8464000	8510000	536	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8510000	8556000	318	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8556000	8602000	580	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8602000	8648000	317	3.4200459687912373e-10	0	6.938710328671811e-10
b'HemMar#1#scaffold_1'	8648000	8694000	279	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8694000	8740000	449	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8740000	8786000	445	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8786000	8832000	355	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8832000	8878000	906	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8878000	8924000	461	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8924000	8970000	669	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	8970000	9016000	304	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9016000	9062000	360	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9062000	9108000	277	1.3956360087414358e-10	0	4.91430036862201e-10
b'HemMar#1#scaffold_1'	9108000	9154000	398	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9154000	9200000	839	1.1665802018795214e-10	0	4.685244561760095e-10
b'HemMar#1#scaffold_1'	9200000	9246000	735	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9246000	9292000	1037	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9292000	9338000	728	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9338000	9384000	363	1.7451466250031607e-11	0	3.69317902238089e-10
b'HemMar#1#scaffold_1'	9384000	9430000	501	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9430000	9476000	430	4.840960225826482e-11	0	4.002760382463222e-10
b'HemMar#1#scaffold_1'	9476000	9522000	454	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9522000	9568000	846	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9568000	9614000	709	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9614000	9660000	905	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9660000	9706000	521	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9706000	9752000	676	5.1382564734432044e-12	0	3.570046924615006e-10
b'HemMar#1#scaffold_1'	9752000	9798000	319	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9798000	9844000	233	1.3459223148583502e-11	0	3.653256591366409e-10
b'HemMar#1#scaffold_1'	9844000	9890000	265	3.6821979691356263e-10	1.635336092550517e-11	7.2008623290162e-10
b'HemMar#1#scaffold_1'	9890000	9936000	183	1.925969602066219e-10	0	5.444633961946793e-10
b'HemMar#1#scaffold_1'	9936000	9982000	456	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	9982000	10028000	335	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10028000	10074000	139	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10074000	10120000	348	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10120000	10166000	139	3.585964983531873e-10	6.7300623651298615e-12	7.104629343412447e-10
b'HemMar#1#scaffold_1'	10166000	10212000	496	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10212000	10258000	723	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10258000	10304000	488	4.493936555632323e-11	0	3.9680580154438064e-10
b'HemMar#1#scaffold_1'	10304000	10350000	343	2.0666390072905982e-11	0	3.725328260609634e-10
b'HemMar#1#scaffold_1'	10350000	10396000	469	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10396000	10442000	325	1.0436821588135363e-10	0	4.5623465186941104e-10
b'HemMar#1#scaffold_1'	10442000	10488000	90	4.2536070886478015e-10	7.349427287672269e-11	7.772271448528376e-10
b'HemMar#1#scaffold_1'	10488000	10534000	193	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10580000	10626000	240	2.137391856674964e-10	0	5.656056216555538e-10
b'HemMar#1#scaffold_1'	10626000	10672000	343	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10672000	10718000	113	2.6109553751739714e-10	0	6.129619735054545e-10
b'HemMar#1#scaffold_1'	10718000	10764000	244	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10764000	10810000	127	1.1634816612193516e-10	0	4.682146021099926e-10
b'HemMar#1#scaffold_1'	10810000	10856000	130	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	10856000	10902000	182	6.105340509731358e-10	2.5866761498507836e-10	9.624004869611932e-10
b'HemMar#1#scaffold_1'	10902000	10948000	204	2.7739734000103153e-10	0	6.292637759890889e-10
b'HemMar#1#scaffold_1'	10948000	10994000	177	2.7557046329654603e-11	0	3.79423482317712e-10
b'HemMar#1#scaffold_1'	10994000	11040000	224	4.219813408939717e-11	0	3.940645700774546e-10
b'HemMar#1#scaffold_1'	11040000	11086000	313	8.071881365345533e-11	0	4.3258524964151273e-10
b'HemMar#1#scaffold_1'	11086000	11132000	101	8.830709939334523e-10	5.312045579453949e-10	1.2349374299215097e-09
b'HemMar#1#scaffold_1'	11132000	11178000	69	7.425804118690523e-10	3.907139758809949e-10	1.0944468478571097e-09
b'HemMar#1#scaffold_1'	11270000	11316000	242	1.0986656876730896e-10	0	4.6173300475536636e-10
b'HemMar#1#scaffold_1'	11316000	11362000	654	7.90374849376455e-11	0	4.309039209257029e-10
b'HemMar#1#scaffold_1'	11362000	11408000	56	7.88410469400693e-10	4.365440334126355e-10	1.1402769053887504e-09
b'HemMar#1#scaffold_1'	11408000	11454000	333	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	11454000	11500000	220	5.287437434569157e-10	1.7687730746885821e-10	8.806101794449731e-10
b'HemMar#1#scaffold_1'	11500000	11546000	161	3.0029690827291344e-10	0	6.521633442609708e-10
b'HemMar#1#scaffold_1'	11546000	11592000	276	4.731005668559884e-10	1.21234130867931e-10	8.249670028440459e-10
b'HemMar#1#scaffold_1'	11592000	11638000	263	1.005284304284656e-10	0	4.52394866416523e-10
b'HemMar#1#scaffold_1'	11638000	11684000	285	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	11684000	11730000	406	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	11730000	11776000	365	2.2858297768109892e-10	0	5.804494136691563e-10
b'HemMar#1#scaffold_1'	11776000	11822000	109	5.407911186293954e-10	1.8892468264133795e-10	8.926575546174528e-10
b'HemMar#1#scaffold_1'	11822000	11868000	157	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	11868000	11914000	186	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	11914000	11960000	75	3.669565457213391e-10	1.509010973328163e-11	7.188229817093965e-10
b'HemMar#1#scaffold_1'	11960000	12006000	348	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12006000	12052000	154	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12052000	12098000	103	4.342172098716232e-10	8.235077388356572e-11	7.860836458596806e-10
b'HemMar#1#scaffold_1'	12098000	12144000	60	3.986814792831046e-10	4.681504329504712e-11	7.50547915271162e-10
b'HemMar#1#scaffold_1'	12144000	12190000	219	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12190000	12236000	124	4.339522341838443e-10	8.208579819578687e-11	7.858186701719017e-10
b'HemMar#1#scaffold_1'	12236000	12282000	141	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12282000	12328000	187	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12328000	12374000	109	5.253720674038317e-10	1.735056314157743e-10	8.772385033918892e-10
b'HemMar#1#scaffold_1'	12374000	12420000	358	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12420000	12466000	415	2.3330748528304648e-11	0	3.7519718451636205e-10
b'HemMar#1#scaffold_1'	12466000	12512000	73	6.088845021615328e-10	2.5701806617347535e-10	9.607509381495902e-10
b'HemMar#1#scaffold_1'	12512000	12558000	272	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	12604000	12650000	56	7.906277619063704e-10	4.3876132591831296e-10	1.1424941978944278e-09
b'HemMar#1#scaffold_1'	12926000	12972000	78	6.462503687200196e-10	2.9438393273196214e-10	9.98116804708077e-10
b'HemMar#1#scaffold_1'	13110000	13156000	52	8.820815223213894e-10	5.30215086333332e-10	1.2339479583094468e-09
b'HemMar#1#scaffold_1'	13156000	13202000	196	3.0534862466731247e-10	0	6.572150606553699e-10
b'HemMar#1#scaffold_1'	13202000	13248000	430	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	13248000	13294000	221	5.054641047090463e-10	1.535976687209888e-10	8.573305406971037e-10
b'HemMar#1#scaffold_1'	13294000	13340000	136	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	13340000	13386000	234	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	13386000	13432000	103	9.151907069133552e-10	5.633242709252977e-10	1.2670571429014126e-09
b'HemMar#1#scaffold_1'	13432000	13478000	95	5.671948507982507e-10	2.1532841481019321e-10	9.190612867863081e-10
b'HemMar#1#scaffold_1'	13478000	13524000	153	9.233008096295015e-10	5.71434373641444e-10	1.2751672456175589e-09
b'HemMar#1#scaffold_1'	13524000	13570000	132	1.5709472735496974e-10	0	5.089611633430271e-10
b'HemMar#1#scaffold_1'	13570000	13616000	194	2.890571291796371e-10	0	6.409235651676945e-10
b'HemMar#1#scaffold_1'	13616000	13662000	237	1.3738585684888797e-11	0	3.656050216729462e-10
b'HemMar#1#scaffold_1'	13662000	13708000	138	1.8201725831288568e-10	0	5.338836943009431e-10
b'HemMar#1#scaffold_1'	13708000	13754000	240	1.5237004335318603e-10	0	5.042364793412434e-10
b'HemMar#1#scaffold_1'	13754000	13800000	89	4.4425729758109005e-10	9.239086159303259e-11	7.961237335691475e-10
b'HemMar#1#scaffold_1'	13800000	13846000	272	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	13846000	13892000	260	6.832658357451458e-11	0	4.20193019562572e-10
b'HemMar#1#scaffold_1'	13892000	13938000	482	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	13938000	13984000	156	4.304085601356946e-10	7.854212414763714e-11	7.82274996123752e-10
b'HemMar#1#scaffold_1'	13984000	14030000	252	0	0	3.518664359880574e-10
b'HemMar#1#scaffold_1'	14030000	14076000	58	5.078010013136643e-10	1.5593456532560684e-10	8.596674373017217e-10
b'HemMar#1#scaffold_1'	14076000	14122000	210	2.3956683803730577e-11	0	3.75823119791788e-10
b'HemMar#1#scaffold_1'	14122000	14168000	189	2.0225375650386365e-10	0	5.541201924919211e-10
b'HemMar#1#scaffold_1'	14168000	14214000	135	2.84074126091631e-10	0	6.359405620796884e-10
